Name,Date,Likes,Views,Comments
(G)I-dle,2019-02-19,208535,4849030,7545
Loona,2019-02-19,1052945,50696608,112325
Miso,2019-02-18,52322,973426,2636
Nichkhun,2019-02-18,69413,954879,3759
MONSTA X,2019-02-18,936110,44982285,84288
Dreamcatcher,2019-02-13,660615,24722463,45541
Saturday,2019-02-13,121399,3503999,13970
9Muses,2019-02-13,11805,112504,1478
Vanner,2019-02-13,19882,173061,1200
TST,2019-02-11,13634,133602,877
Taemin,2019-02-11,1144511,52356418,77574
ITZY,2019-02-10,4278429,321704472,338903
FTISLAND,2019-02-10,34831,837265,1981
Pierce,2019-02-08,11737,1352107,2308
Koyote,2019-02-08,10741,756662,1111
Twice,2019-02-07,457828,33378317,15881
Lafee,2019-02-06,2460,34384,165
Yesung,2019-02-05,111509,1547194,14197
VIXX,2019-02-01,73222,1088715,5744
Hi Cutie,2019-01-31,720,16166,337
N.Flying,2019-01-31,28291,882309,974
Aweek,2019-01-31,877,6040,162
CLC,2019-01-30,718223,25057172,44767
NeonPunch,2019-01-29,17408,337760,1273
Snuper,2019-01-27,2737,57021,305
IZ*ONE,2019-01-24,566284,29767272,49588
IMFACT,2019-01-24,16455,162639,1350
MustB,2019-01-22,12114,117317,1858
Seventeen,2019-01-21,1646957,77911669,181970
Cherry Bullet,2019-01-21,64263,1590063,3396
Hyomin,2019-01-19,57179,1599063,4447
Astro,2019-01-16,318585,8708198,12197
April,2019-01-16,16515,577852,1093
HUTA,2019-01-15,130919,2398259,7762
ATEEZ,2019-01-15,1393731,72537230,76869
Nature,2019-01-15,30330,1800107,1885
Favorite,2019-01-15,155772,5680845,7612
GFRIEND,2019-01-14,600548,39008499,99021
Twice,2019-01-10,529190,35920518,23038
Greyish,2019-01-09,9080,225960,970
Luna,2019-01-09,20805,323644,1186
Oneus,2019-01-09,758663,29381174,34749
Verivery,2019-01-09,114602,4056943,6412
WJSN,2019-01-08,81849,2580797,4823
Luna,2019-01-08,41413,675845,2281
Pentagon,2019-01-08,221129,3690902,11840
Apink,2019-01-07,675637,48045351,57612
iKON,2019-01-07,1646906,43727469,137463
KNK,2019-01-07,68399,888583,7147
Red Velvet,2019-01-05,1016185,21401145,60800
Ryeowook,2019-01-04,81674,1450937,6586
Mfect,2019-01-04,8122,72799,1281
M.O.N.T,2019-01-04,141706,1784011,11225
Luna,2019-01-03,77778,1034379,7063
Dreamnote,2019-01-02,6607,460711,265
N.Flying,2019-01-02,32213,694660,1628
Chungha,2019-01-02,301548,17880279,12807
Team X,2019-01-01,1395,115289,56
Ryeowook,2019-01-01,114612,1882592,12841
Cherry On Top,2018-12-30,19267,202295,1825
